Department,SubDepartment,ShareFolder,SecurityGroup
BUSINESS,Accountancy and Business Studies,Accountancy and Business Studies,Accountancy and Business Studies Students
BUSINESS,Secretarial Studies,Secretarial Studies,Secretarial Studies Students
CD&T,,CLOTHING DESIGN AND TEXTILES$,CD&T
ELECTRICAL,,Electrical and Electronics Engineering$,ELECTRICAL
HBT,Beauty Therapy,Beauty Therapy,Beauty Therapy Students
HBT,Hairdressing,hairdressing,Hairdressing Students
HOSPITALITY,Travel Management,travel management,Travel Management Students
HOSPITALITY,Culinary Arts,culinary arts,Culinary Arts Students
HOSPITALITY,Hospitality Management,hospitality management,Hospitality Management Students
ICT,,Information Communications Technology$,ICT Students
KEYSKILLS,,keyskills$,
SPECIAL NEEDS,Access To Retail Business,access to Retail Business,Access To Retail Business Students
SPECIAL NEEDS,Access To Hospitality Operations,access to hospitality operations,Access To Hospitality Operations Students
